"","name","manufacturer","type","calories","protein","fat","sodium_mg","fiber_content_g","carbo_g","sugars_g","potass","vitamins","shelf","weight","cups","rating","X","mascot","has_mascot"
"1","100% Bran","Nabisco","C",70,4,1,130,10,5,6,280,25,"3",1,0.33,68.402973,NA,NA,"No"
"2","100% Natural Bran","Quaker Oats","C",120,3,5,15,2,8,8,135,0,"3",1,1,33.983679,NA,NA,"No"
"3","All-Bran","Kelloggs","C",70,4,1,260,9,7,5,320,25,"3",1,0.33,59.425505,NA,NA,"No"
"4","All-Bran with Extra Fiber","Kelloggs","C",50,4,0,140,14,8,0,330,25,"3",1,0.5,93.704912,NA,NA,"No"
"5","Almond Delight","Ralston Purina","C",110,2,2,200,1,14,8,-1,25,"3",1,0.75,34.384843,NA,NA,"No"
"6","Apple Cinnamon Cheerios","General Mills","C",110,2,2,180,1.5,10.5,10,70,25,"1",1,0.75,29.509541,NA,NA,"No"
"7","Apple Jacks","Kelloggs","C",110,2,0,125,1,11,14,30,25,"2",1,1,33.174094,NA,NA,"No"
"8","Basic 4","General Mills","C",130,3,2,210,2,18,8,100,25,"3",1.33,0.75,37.038562,NA,NA,"No"
"9","Bran Chex","Ralston Purina","C",90,2,1,200,4,15,6,125,25,"1",1,0.67,49.120253,NA,NA,"No"
"10","Bran Flakes","Post","C",90,3,0,210,5,13,5,190,25,"3",1,0.67,53.313813,NA,NA,"No"
"11","Cap'n'Crunch","Quaker Oats","C",120,1,2,220,0,12,12,35,25,"2",1,0.75,18.042851,40,"Cap’n Crunch (Horatio Magellan Crunch)","Yes"
"12","Cheerios","General Mills","C",110,6,2,290,2,17,1,105,25,"1",1,1.25,50.764999,175,"Pete the Cheerios Kid","Yes"
"13","Cinnamon Toast Crunch","General Mills","C",120,1,3,210,0,13,9,45,25,"2",1,0.75,19.823573,263,"Wendell","Yes"
"14","Clusters","General Mills","C",110,3,2,140,2,13,7,105,25,"3",1,0.5,40.400208,NA,NA,"No"
"15","Cocoa Puffs","General Mills","C",110,1,1,180,0,12,13,55,25,"2",1,1,22.736446,37,"Buzz the Bee","Yes"
"16","Cocoa Puffs","General Mills","C",110,1,1,180,0,12,13,55,25,"2",1,1,22.736446,53,"Cocoa Puffs’ Sheik of Shake","Yes"
"17","Cocoa Puffs","General Mills","C",110,1,1,180,0,12,13,55,25,"2",1,1,22.736446,220,"Sonny the Cuckoo Bird","Yes"
"18","Corn Chex","Ralston Purina","C",110,2,0,280,0,22,3,25,25,"1",1,1,41.445019,NA,NA,"No"
"19","Corn Flakes","Kelloggs","C",100,2,0,290,1,21,2,35,25,"1",1,1,45.863324,64,"Cornelius Rooster","Yes"
"20","Corn Pops","Kelloggs","C",110,1,0,90,1,13,12,20,25,"2",1,1,35.782791,61,"Cornelius (Corny) the Corn","Yes"
"21","Count Chocula","General Mills","C",110,1,1,180,0,12,13,65,25,"2",1,1,22.396513,66,"Count Chocula","Yes"
"22","Cracklin' Oat Bran","Kelloggs","C",110,3,3,140,4,10,7,160,25,"3",1,0.5,40.448772,NA,NA,"No"
"23","Cream of Wheat (Quick)","Nabisco","H",100,3,0,80,1,21,0,-1,0,"2",1,1,64.533816,NA,NA,"No"
"24","Crispix","Kelloggs","C",110,2,0,220,1,21,3,30,25,"3",1,1,46.895644,NA,NA,"No"
"25","Crispy Wheat & Raisins","General Mills","C",100,2,1,140,2,11,10,120,25,"3",1,0.75,36.176196,NA,NA,"No"
"26","Double Chex","Ralston Purina","C",100,2,0,190,1,18,5,80,25,"3",1,0.75,44.330856,NA,NA,"No"
"27","Froot Loops","Kelloggs","C",110,2,1,125,1,11,13,30,25,"2",1,1,32.207582,251,"Toucan Sam","Yes"
"28","Frosted Flakes","Kelloggs","C",110,1,0,200,1,14,11,25,25,"1",1,0.75,31.435973,250,"Tony the Tiger","Yes"
"29","Frosted Mini-Wheats","Kelloggs","C",100,3,0,0,3,14,7,100,25,"2",1,0.8,58.345141,160,"Mr. Mini-Wheats","Yes"
"30","Fruit & Fibre Dates; Walnuts; and Oats","Post","C",120,3,2,160,5,12,10,200,25,"3",1.25,0.67,40.917047,NA,NA,"No"
"31","Fruitful Bran","Kelloggs","C",120,3,0,240,5,14,12,190,25,"3",1.33,0.67,41.015492,NA,NA,"No"
"32","Fruity Pebbles","Post","C",110,1,1,135,0,13,12,25,25,"2",1,0.75,28.025765,93,"Fred Flintstone","Yes"
"33","Golden Crisp","Post","C",100,2,0,45,0,11,15,40,25,"1",1,0.88,35.252444,106,"Golden Crisp Seal","Yes"
"34","Golden Crisp","Post","C",100,2,0,45,0,11,15,40,25,"1",1,0.88,35.252444,107,"Golden Crisp’s Granny Goodwitch","Yes"
"35","Golden Grahams","General Mills","C",110,1,1,280,0,15,9,45,25,"2",1,0.75,23.804043,NA,NA,"No"
"36","Grape Nuts Flakes","Post","C",100,3,1,140,3,15,5,85,25,"3",1,0.88,52.076897,NA,NA,"No"
"37","Grape-Nuts","Post","C",110,3,0,170,3,17,3,90,25,"3",1,0.25,53.371007,NA,NA,"No"
"38","Great Grains Pecan","Post","C",120,3,3,75,3,13,4,100,25,"3",1,0.33,45.811716,NA,NA,"No"
"39","Honey Graham Ohs","Quaker Oats","C",120,1,2,220,1,12,11,45,25,"2",1,1,21.871292,NA,NA,"No"
"40","Honey Nut Cheerios","General Mills","C",110,3,1,250,1.5,11.5,10,90,25,"1",1,0.75,31.072217,13,"Bee (BuzzBee)","Yes"
"41","Honey-comb","Post","C",110,1,0,180,0,14,11,35,25,"1",1,1.33,28.742414,NA,NA,"No"
"42","Just Right Crunchy  Nuggets","Kelloggs","C",110,2,1,170,1,17,6,60,100,"3",1,1,36.523683,NA,NA,"No"
"43","Just Right Fruit & Nut","Kelloggs","C",140,3,1,170,2,20,9,95,100,"3",1.3,0.75,36.471512,NA,NA,"No"
"44","Kix","General Mills","C",110,2,1,260,0,21,3,40,25,"2",1,1.5,39.241114,NA,NA,"No"
"45","Life","Quaker Oats","C",100,4,2,150,2,12,6,95,25,"2",1,0.67,45.328074,NA,NA,"No"
"46","Lucky Charms","General Mills","C",110,2,1,180,0,12,12,55,25,"2",1,1,26.734515,145,"Lucky the Leprechaun","Yes"
"47","Maypo","American Home","H",100,4,1,0,0,16,3,95,25,"2",1,1,54.850917,NA,NA,"No"
"48","Muesli Raisins; Dates; & Almonds","Ralston Purina","C",150,4,3,95,3,16,11,170,25,"3",1,1,37.136863,NA,NA,"No"
"49","Muesli Raisins; Peaches; & Pecans","Ralston Purina","C",150,4,3,150,3,16,11,170,25,"3",1,1,34.139765,NA,NA,"No"
"50","Mueslix Crispy Blend","Kelloggs","C",160,3,2,150,3,17,13,160,25,"3",1.5,0.67,30.313351,NA,NA,"No"
"51","Multi-Grain Cheerios","General Mills","C",100,2,1,220,2,15,6,90,25,"1",1,1,40.105965,NA,NA,"No"
"52","Nut&Honey Crunch","Kelloggs","C",120,2,1,190,0,15,9,40,25,"2",1,0.67,29.924285,NA,NA,"No"
"53","Nutri-Grain Almond-Raisin","Kelloggs","C",140,3,2,220,3,21,7,130,25,"3",1.33,0.67,40.69232,NA,NA,"No"
"54","Nutri-grain Wheat","Kelloggs","C",90,3,0,170,3,18,2,90,25,"3",1,1,59.642837,NA,NA,"No"
"55","Oatmeal Raisin Crisp","General Mills","C",130,3,2,170,1.5,13.5,10,120,25,"3",1.25,0.5,30.450843,NA,NA,"No"
"56","Post Nat. Raisin Bran","Post","C",120,3,1,200,6,11,14,260,25,"3",1.33,0.67,37.840594,NA,NA,"No"
"57","Product 19","Kelloggs","C",100,3,0,320,1,20,3,45,100,"3",1,1,41.50354,NA,NA,"No"
"58","Puffed Rice","Quaker Oats","C",50,1,0,0,0,13,0,15,0,"3",0.5,1,60.756112,NA,NA,"No"
"59","Puffed Wheat","Quaker Oats","C",50,2,0,0,1,10,0,50,0,"3",0.5,1,63.005645,NA,NA,"No"
"60","Quaker Oat Squares","Quaker Oats","C",100,4,1,135,2,14,6,110,25,"3",1,0.5,49.511874,NA,NA,"No"
"61","Quaker Oatmeal","Quaker Oats","H",100,5,2,0,2.7,-1,-1,110,0,"1",1,0.67,50.828392,NA,NA,"No"
"62","Raisin Bran","Kelloggs","C",120,3,1,210,5,14,12,240,25,"2",1.33,0.75,39.259197,239,"The Raisin Bran Sun","Yes"
"63","Raisin Nut Bran","General Mills","C",100,3,2,140,2.5,10.5,8,140,25,"3",1,0.5,39.7034,NA,NA,"No"
"64","Raisin Squares","Kelloggs","C",90,2,0,0,2,15,6,110,25,"3",1,0.5,55.333142,NA,NA,"No"
"65","Rice Chex","Ralston Purina","C",110,1,0,240,0,23,2,30,25,"1",1,1.13,41.998933,NA,NA,"No"
"66","Rice Krispies","Kelloggs","C",110,2,0,290,0,22,3,35,25,"1",1,1,40.560159,218,"Snap, Crackle, and Pop","Yes"
"67","Shredded Wheat","Nabisco","C",80,2,0,0,3,16,0,95,0,"1",0.83,1,68.235885,NA,NA,"No"
"68","Shredded Wheat 'n'Bran","Nabisco","C",90,3,0,0,4,19,0,140,0,"1",1,0.67,74.472949,NA,NA,"No"
"69","Shredded Wheat spoon size","Nabisco","C",90,3,0,0,3,20,0,120,0,"1",1,0.67,72.801787,NA,NA,"No"
"70","Smacks","Kelloggs","C",110,2,1,70,1,9,15,40,25,"2",1,0.75,31.230054,76,"Dig’em Frog","Yes"
"71","Special K","Kelloggs","C",110,6,0,230,1,16,3,55,25,"1",1,1,53.131324,NA,NA,"No"
"72","Strawberry Fruit Wheats","Nabisco","C",90,2,0,15,3,15,5,90,25,"2",1,1,59.363993,NA,NA,"No"
"73","Total Corn Flakes","General Mills","C",110,2,1,200,0,21,3,35,100,"3",1,1,38.839746,NA,NA,"No"
"74","Total Raisin Bran","General Mills","C",140,3,1,190,4,15,14,230,100,"3",1.5,1,28.592785,NA,NA,"No"
"75","Total Whole Grain","General Mills","C",100,3,1,200,3,16,3,110,100,"3",1,1,46.658844,NA,NA,"No"
"76","Triples","General Mills","C",110,2,1,250,0,21,3,60,25,"3",1,0.75,39.106174,NA,NA,"No"
"77","Trix","General Mills","C",110,1,1,140,0,13,12,25,25,"2",1,1,27.753301,253,"Trix Rabbit","Yes"
"78","Wheat Chex","Ralston Purina","C",100,3,1,230,3,17,3,115,25,"1",1,0.67,49.787445,210,"Rusty","Yes"
"79","Wheaties","General Mills","C",100,3,1,200,3,17,3,110,25,"1",1,1,51.592193,161,"Mr. Muscle","Yes"
"80","Wheaties Honey Gold","General Mills","C",110,2,1,200,1,16,8,60,25,"1",1,0.75,36.187559,NA,NA,"No"
